"filename", "language", "C++", "comment", "blank", "total"
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/cacheManager.cpp", "C++", 9, 1, -1, 9
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/cacheManager.hpp", "C++", 14, -6, -2, 6
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/controlUnit.cpp", "C++", -4, -2, -4, -10
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/decoder.cpp", "C++", -1, 0, 0, -1
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/helpers.hpp", "C++", 2, 0, 0, 2
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/instruction.cpp", "C++", 6, 1, 0, 7
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/memory.hpp", "C++", 0, 0, 4, 4
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/operands.cpp", "C++", 22, 1, 2, 25
"/home/franco/Documents/GitHub/Simulatore-cpu-x86-64/operands.hpp", "C++", 1, 0, 0, 1
"Total", "-", 49, -5, -1, 43